City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
650,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
652,Morgan City,US,77.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
653,Luganville,VU,80.28,broken clouds,-15.5333,167.1667,The Espiritu Hotel
661,Ziniare,BF,77.04,broken clouds,12.5822,-1.2983,Privilège Hôtel de Ziniaré
666,Kurchum,KZ,74.23,overcast clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
669,Samana,DO,76.1,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
670,Gambela,ET,75.18,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
674,Dwarka,IN,86.09,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
675,Manaure,CO,80.65,clear sky,11.7751,-72.4445,Hotel Palaaima
677,Keelung,TW,77.05,light rain,25.1283,121.7419,East Coast Star Boutique Hotel
678,Taicheng,CN,81.79,broken clouds,38.731,113.228,五台山康旅酒店
